Node1,Node1Property_GroupLabel,Node2,Node2Property_GroupLabel,EdgeProperty_Correlation,EdgeProperty_Arrow_Direction,EdgeProperty_PaperID,EdgeProperty_SampleSize,EdgeProperty_SampleYears,EdgeProperty_SampleCountries,EdgeProperty_SampleIndustries
Collective-individual,causes,Tenure,causes,-0.25,noncausal,A16JOM,257,2006,United States,Financial Services
Fixed variable,causes,Tenure,causes,-0.14,noncausal,A16JOM,257,2006,United States,Financial Services
Formal Informal,causes,Tenure,causes,-0.14,noncausal,A16JOM,257,2006,United States,Financial Services
Investiture divestiture,causes,Tenure,causes,-0.2,noncausal,A16JOM,257,2006,United States,Financial Services
Off-the-job embeddedness,social well-being,Tenure,causes,-0.01,node2-->node1,A16JOM,257,2006,United States,Financial Services
On-the-job embeddedness,social well-being,Tenure,causes,-0.04,node2-->node1,A16JOM,257,2006,United States,Financial Services
Sequential-random socialization tactic,causes,Tenure,causes,-0.09,noncausal,A16JOM,257,2006,United States,Financial Services
Serial disjunctive,causes,Tenure,causes,-0.18,noncausal,A16JOM,257,2006,United States,Financial Services
Turnover,social well-being,Tenure,causes,0.1,node2-->node1,A16JOM,257,2006,United States,Financial Services
Collective-individual,causes,Serial disjunctive,causes,0.44,noncausal,A16JOM,257,2006,United States,Financial Services
Formal Informal,causes,Serial disjunctive,causes,0.56,noncausal,A16JOM,257,2006,United States,Financial Services
Investiture divestiture,causes,Serial disjunctive,causes,0.53,noncausal,A16JOM,257,2006,United States,Financial Services
Sequential-random socialization tactic,causes,Serial disjunctive,causes,0.6,noncausal,A16JOM,257,2006,United States,Financial Services
Turnover,social well-being,Serial disjunctive,causes,-0.15,node2-->node1,A16JOM,257,2006,United States,Financial Services
Collective-individual,causes,Sequential-random socialization tactic,causes,0.44,noncausal,A16JOM,257,2006,United States,Financial Services
Formal Informal,causes,Sequential-random socialization tactic,causes,0.55,noncausal,A16JOM,257,2006,United States,Financial Services
Investiture divestiture,causes,Sequential-random socialization tactic,causes,0.39,noncausal,A16JOM,257,2006,United States,Financial Services
Turnover,social well-being,Sequential-random socialization tactic,causes,-0.06,node2-->node1,A16JOM,257,2006,United States,Financial Services
Collective-individual,causes,Race,causes,0.1,noncausal,A16JOM,257,2006,United States,Financial Services
Fixed variable,causes,Race,causes,0.05,noncausal,A16JOM,257,2006,United States,Financial Services
Formal Informal,causes,Race,causes,0.09,noncausal,A16JOM,257,2006,United States,Financial Services
Investiture divestiture,causes,Race,causes,-0.11,noncausal,A16JOM,257,2006,United States,Financial Services
Off-the-job embeddedness,social well-being,Race,causes,-0.13,node2-->node1,A16JOM,257,2006,United States,Financial Services
On-the-job embeddedness,social well-being,Race,causes,0.01,node2-->node1,A16JOM,257,2006,United States,Financial Services
Previous experience,causes,Race,causes,0.01,noncausal,A16JOM,257,2006,United States,Financial Services
Sequential-random socialization tactic,causes,Race,causes,0.2,noncausal,A16JOM,257,2006,United States,Financial Services
Serial disjunctive,causes,Race,causes,0.14,noncausal,A16JOM,257,2006,United States,Financial Services
Tenure,causes,Race,causes,0.03,noncausal,A16JOM,257,2006,United States,Financial Services
Turnover,social well-being,Race,causes,-0.01,node2-->node1,A16JOM,257,2006,United States,Financial Services
Collective-individual,causes,Previous experience,causes,-0.19,noncausal,A16JOM,257,2006,United States,Financial Services
Fixed variable,causes,Previous experience,causes,0.06,noncausal,A16JOM,257,2006,United States,Financial Services
Formal Informal,causes,Previous experience,causes,-0.09,noncausal,A16JOM,257,2006,United States,Financial Services
Investiture divestiture,causes,Previous experience,causes,0.01,noncausal,A16JOM,257,2006,United States,Financial Services
Off-the-job embeddedness,social well-being,Previous experience,causes,0.1,node2-->node1,A16JOM,257,2006,United States,Financial Services
On-the-job embeddedness,social well-being,Previous experience,causes,0.07,node2-->node1,A16JOM,257,2006,United States,Financial Services
Sequential-random socialization tactic,causes,Previous experience,causes,-0.06,noncausal,A16JOM,257,2006,United States,Financial Services
Serial disjunctive,causes,Previous experience,causes,-0.18,noncausal,A16JOM,257,2006,United States,Financial Services
Tenure,causes,Previous experience,causes,0.02,noncausal,A16JOM,257,2006,United States,Financial Services
Turnover,social well-being,Previous experience,causes,0.02,node2-->node1,A16JOM,257,2006,United States,Financial Services
Collective-individual,causes,On-the-job embeddedness,social well-being,0.29,node1-->node2,A16JOM,257,2006,United States,Financial Services
Fixed variable,causes,On-the-job embeddedness,social well-being,0.38,node1-->node2,A16JOM,257,2006,United States,Financial Services
Formal Informal,causes,On-the-job embeddedness,social well-being,0.2,node1-->node2,A16JOM,257,2006,United States,Financial Services
Investiture divestiture,causes,On-the-job embeddedness,social well-being,0.49,node1-->node2,A16JOM,257,2006,United States,Financial Services
Sequential-random socialization tactic,causes,On-the-job embeddedness,social well-being,0.28,node1-->node2,A16JOM,257,2006,United States,Financial Services
Serial disjunctive,causes,On-the-job embeddedness,social well-being,0.31,node1-->node2,A16JOM,257,2006,United States,Financial Services
Turnover,social well-being,On-the-job embeddedness,social well-being,-0.23,noncausal,A16JOM,257,2006,United States,Financial Services
Collective-individual,causes,Off-the-job embeddedness,social well-being,-0.04,node1-->node2,A16JOM,257,2006,United States,Financial Services
Fixed variable,causes,Off-the-job embeddedness,social well-being,0.04,node1-->node2,A16JOM,257,2006,United States,Financial Services
Formal Informal,causes,Off-the-job embeddedness,social well-being,-0.08,node1-->node2,A16JOM,257,2006,United States,Financial Services
Investiture divestiture,causes,Off-the-job embeddedness,social well-being,0.09,node1-->node2,A16JOM,257,2006,United States,Financial Services
On-the-job embeddedness,social well-being,Off-the-job embeddedness,social well-being,0.2,noncausal,A16JOM,257,2006,United States,Financial Services
Sequential-random socialization tactic,causes,Off-the-job embeddedness,social well-being,0.04,node1-->node2,A16JOM,257,2006,United States,Financial Services
Serial disjunctive,causes,Off-the-job embeddedness,social well-being,0.02,node1-->node2,A16JOM,257,2006,United States,Financial Services
Turnover,social well-being,Off-the-job embeddedness,social well-being,-0.05,noncausal,A16JOM,257,2006,United States,Financial Services
Collective-individual,causes,Investiture divestiture,causes,0.3,noncausal,A16JOM,257,2006,United States,Financial Services
Formal Informal,causes,Investiture divestiture,causes,0.27,noncausal,A16JOM,257,2006,United States,Financial Services
Turnover,social well-being,Investiture divestiture,causes,-0.12,node2-->node1,A16JOM,257,2006,United States,Financial Services
Collective-individual,causes,Formal Informal,causes,0.57,noncausal,A16JOM,257,2006,United States,Financial Services
Turnover,social well-being,Formal Informal,causes,-0.09,node2-->node1,A16JOM,257,2006,United States,Financial Services
Collective-individual,causes,Fixed variable,causes,0.38,noncausal,A16JOM,257,2006,United States,Financial Services
Formal Informal,causes,Fixed variable,causes,0.48,noncausal,A16JOM,257,2006,United States,Financial Services
Investiture divestiture,causes,Fixed variable,causes,0.44,noncausal,A16JOM,257,2006,United States,Financial Services
Sequential-random socialization tactic,causes,Fixed variable,causes,0.66,noncausal,A16JOM,257,2006,United States,Financial Services
Serial disjunctive,causes,Fixed variable,causes,0.51,noncausal,A16JOM,257,2006,United States,Financial Services
Turnover,social well-being,Fixed variable,causes,-0.07,node2-->node1,A16JOM,257,2006,United States,Financial Services
Turnover,social well-being,Collective-individual,causes,-0.08,node2-->node1,A16JOM,257,2006,United States,Financial Services
Job Strain,hedonic well-being,Work hours,causes,0.03,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job tension,hedonic well-being,Work hours,causes,0.16,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Overtime,hedonic well-being,Work hours,causes,0.18,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Annualized Hours,causes,Work from home,causes,0,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Compessed Schedule,causes,Work from home,causes,0.04,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Flexi-time work,causes,Work from home,causes,0.11,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job sharing,causes,Work from home,causes,-0.02,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job Strain,hedonic well-being,Work from home,causes,0.04,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job tension,hedonic well-being,Work from home,causes,0.03,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Overtime,hedonic well-being,Work from home,causes,0.1,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Part-time work,causes,Work from home,causes,-0.1,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Temporary work,causes,Work from home,causes,-0.01,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Term-time work,causes,Work from home,causes,-0.04,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Work hours,causes,Work from home,causes,0.12,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Age,causes,Unionization,social well-being,0.14,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Annualized Hours,causes,Unionization,social well-being,0.04,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Children,causes,Unionization,social well-being,0.07,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Commuting time,causes,Unionization,social well-being,0.02,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Compessed Schedule,causes,Unionization,social well-being,0.03,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Education,causes,Unionization,social well-being,0.13,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Employer centered FWAs,causes,Unionization,social well-being,-0.01,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Emplyee centered FWAs,causes,Unionization,social well-being,0.01,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Flexi-time work,causes,Unionization,social well-being,0.09,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Gender,causes,Unionization,social well-being,0.07,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Informal flexible work,causes,Unionization,social well-being,-0.08,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job security,economic well-being,Unionization,social well-being,-0.02,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job sharing,causes,Unionization,social well-being,0.01,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job Strain,hedonic well-being,Unionization,social well-being,0.04,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job tension,hedonic well-being,Unionization,social well-being,0.07,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Marital status,causes,Unionization,social well-being,0.08,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Other flexible work,causes,Unionization,social well-being,-0.06,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Overtime,hedonic well-being,Unionization,social well-being,0.03,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Part-time work,causes,Unionization,social well-being,-0.09,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Second job,causes,Unionization,social well-being,0.01,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Temporary work,causes,Unionization,social well-being,-0.05,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Term-time work,causes,Unionization,social well-being,0.12,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Work from home,causes,Unionization,social well-being,-0.04,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Work hours,causes,Unionization,social well-being,0.1,node1-->node2,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Annualized Hours,causes,Term-time work,causes,0,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Compessed Schedule,causes,Term-time work,causes,-0.03,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job sharing,causes,Term-time work,causes,0.07,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job Strain,hedonic well-being,Term-time work,causes,0,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job tension,hedonic well-being,Term-time work,causes,-0.02,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Overtime,hedonic well-being,Term-time work,causes,0.02,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Part-time work,causes,Term-time work,causes,0.1,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Temporary work,causes,Term-time work,causes,0.01,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Work hours,causes,Term-time work,causes,-0.12,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job Strain,hedonic well-being,Temporary work,causes,-0.03,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job tension,hedonic well-being,Temporary work,causes,-0.08,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Overtime,hedonic well-being,Temporary work,causes,-0.05,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Work hours,causes,Temporary work,causes,-0.19,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Age,causes,Second job,causes,0.04,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Annualized Hours,causes,Second job,causes,0.01,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Children,causes,Second job,causes,-0.01,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Commuting time,causes,Second job,causes,0,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Compessed Schedule,causes,Second job,causes,0.01,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Education,causes,Second job,causes,1,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Employer centered FWAs,causes,Second job,causes, ,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Emplyee centered FWAs,causes,Second job,causes,0.04,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Flexi-time work,causes,Second job,causes,0,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Gender,causes,Second job,causes,-0.02,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Informal flexible work,causes,Second job,causes,0.01,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job sharing,causes,Second job,causes,0.02,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job Strain,hedonic well-being,Second job,causes,0,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job tension,hedonic well-being,Second job,causes,-0.01,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Marital status,causes,Second job,causes,-0.02,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Other flexible work,causes,Second job,causes,0.04,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Overtime,hedonic well-being,Second job,causes,0,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Part-time work,causes,Second job,causes,0.07,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Temporary work,causes,Second job,causes,0.04,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Term-time work,causes,Second job,causes,0.05,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Work from home,causes,Second job,causes,0,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Work hours,causes,Second job,causes,-0.09,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job Strain,hedonic well-being,Part-time work,causes,-0.02,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job tension,hedonic well-being,Part-time work,causes,-0.11,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Overtime,hedonic well-being,Part-time work,causes,-0.19,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Temporary work,causes,Part-time work,causes,0.11,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Work hours,causes,Part-time work,causes,-0.75,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job Strain,hedonic well-being,Overtime,hedonic well-being,0.07,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job tension,hedonic well-being,Overtime,hedonic well-being,0.14,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Annualized Hours,causes,Other flexible work,causes,0,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Compessed Schedule,causes,Other flexible work,causes,0.01,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Flexi-time work,causes,Other flexible work,causes,0,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job sharing,causes,Other flexible work,causes,0.01,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job Strain,hedonic well-being,Other flexible work,causes,0.01,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job tension,hedonic well-being,Other flexible work,causes,0.01,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Overtime,hedonic well-being,Other flexible work,causes,0.03,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Part-time work,causes,Other flexible work,causes,-0.04,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Temporary work,causes,Other flexible work,causes,0.01,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Term-time work,causes,Other flexible work,causes,-0.03,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Work from home,causes,Other flexible work,causes,0.06,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Work hours,causes,Other flexible work,causes,0.03,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Annualized Hours,causes,Marital status,causes,0.01,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Compessed Schedule,causes,Marital status,causes,0.03,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Employer centered FWAs,causes,Marital status,causes,-0.05,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Emplyee centered FWAs,causes,Marital status,causes,0.07,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Flexi-time work,causes,Marital status,causes,0.02,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Gender,causes,Marital status,causes,-0.05,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Informal flexible work,causes,Marital status,causes,0.04,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job sharing,causes,Marital status,causes,0.03,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job Strain,hedonic well-being,Marital status,causes,0,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Job tension,hedonic well-being,Marital status,causes,0.01,node2-->node1,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
Other flexible work,causes,Marital status,causes,0.01,noncausal,AR19HRM,13834,2011,United Kingdom,Work and Employment Relations
